20 65
2 0 147
0 6 131
12 6 144
11 6 210
10 6 152
5 4 15
13 4 182
13 6 105
0 2 100
8 10 104
5 8 170
3 7 50
3 8 107
11 12 164
11 2 168
3 0 111
2 1 32
12 8 50
8 7 67
4 8 73
8 2 193
2 10 162
10 3 76
8 11 130
0 11 84
13 8 101
9 1 163
13 1 92
4 6 176
12 13 110
4 5 64
3 2 140
10 13 12
2 9 66
12 11 182
7 4 157
3 11 140
12 10 178
8 3 209
18 14 201
14 5 127
14 8 200
14 11 95
14 10 52
4 19 187
18 15 185
15 9 71
15 7 81
15 2 7
9 19 38
18 16 39
16 12 19
16 8 62
16 6 205
16 9 201
8 19 31
18 17 2
17 4 151
17 11 40
17 5 189
17 13 76
17 0 138
5 19 140
1 19 168
6 19 119
