21 61
2 10 113
8 0 43
7 3 4
2 6 197
11 4 51
8 3 170
3 6 230
7 12 133
1 10 182
6 13 227
5 6 92
0 8 159
1 6 87
9 12 123
11 8 144
14 5 166
3 10 70
11 10 84
14 3 82
12 8 21
12 1 236
11 9 46
3 12 197
13 11 226
5 3 119
10 11 117
1 11 39
0 1 228
14 6 178
14 12 4
1 7 81
13 9 81
5 13 214
5 8 138
0 3 11
6 2 5
19 15 173
15 10 136
15 13 219
15 12 127
15 9 16
13 20 230
19 16 47
16 12 202
16 13 83
16 14 168
0 20 226
19 17 82
17 7 150
17 5 117
17 4 24
17 14 128
8 20 216
19 18 109
18 0 144
18 11 190
18 7 51
18 4 1
14 20 153
4 20 124
19 14 203
